ticker,sector,approx_mktcap_usd
AAPL,Information Technology,4665175441408
GOOGL,Communication,4231927169024
GOOG,Communication,4188875259904
MSFT,Information Technology,3840269352960
AMZN,Consumer Discretionary,2858049339392
SPCX,Communication,1849009504256
AVGO,Information Technology,1746932989952
META,Communication,1467541880832
TSLA,Consumer Discretionary,1369485869056
BRKB,Financials,1081850462208
MU,Information Technology,1044677328896
LLY,Health Care,1041179344896
JPM,Financials,948733280256
WMT,Consumer Staples,818170888192
AMD,Information Technology,769800077312
V,Financials,712745287680
ASML,Technology,652478316544
XOM,Energy,639690145792
JNJ,Health Care,639213502464
MA,Financials,521733996544
INTC,Information Technology,471625793536
ABBV,Health Care,452258332672
PLTR,Information Technology,446584356864
BAC,Financials,435823050752
CSCO,Information Technology,433912512512
ORCL,Information Technology,433078829056
COST,Consumer Staples,419406774272
CVX,Energy,395412144128
KO,Consumer Staples,386756116480
LRCX,Information Technology,380639313920
CAT,Industrials,368788013056
AMAT,Information Technology,367177695232
MRK,Health Care,364117524480
GE,Industrials,354597371904
UNH,Health Care,353742127104
NFLX,Communication,339215319040
MS,Financials,337153458176
PG,Consumer Staples,333079642112
HD,Consumer Discretionary,327312048128
PANW,Information Technology,302063386624
GS,Financials,301365297152
PM,Consumer Staples,299316117504
DELL,Information Technology,297076883456
RTX,Industrials,284862152704
WFC,Financials,260668719104
ARM,Technology,258455781376
ANET,Information Technology,246935175168
GEV,Industrials,244672675840
TXN,Information Technology,235261722624
AMGN,Health Care,233490857984
KLAC,Information Technology,229847711744
TMO,Health Care,229546524672
AXP,Financials,225479213056
LIN,Materials,224869580800
CRWD,Information Technology,223125651456
C,Financials,222436507648
IBM,Information Technology,222037524480
SNDK,Information Technology,217076416512
CRM,Information Technology,213519122432
VZ,Communication,207477014528
SHOP,Technology,199397621760
MRVL,Information Technology,195176185856
APH,Information Technology,195076472832
ABT,Health Care,194598912000
TMUS,Communication,193724497920
PEP,Consumer Staples,192496713728
SCHW,Financials,191660015616
STX,Information Technology,190036885504
BLK,Financials,189016670208
MCD,Consumer Discretionary,186272481280
DIS,Communication,185705168896
UNP,Industrials,182785146880
GILD,Health Care,180239892480
SCCO,Materials,178131189760
T,Communication,177374003200
ADI,Information Technology,175458729984
QCOM,Information Technology,174243381248
WELL,Real Estate,172659867648
BX,Financials,171214454784
NEE,Utilities,169996795904
DE,Industrials,168260108288
WDC,Information Technology,166852935680
BA,Industrials,164894900224
IBKR,Financials,163702603776
UBER,Industrials,160197984256
PFE,Health Care,158707400704
ETN,Industrials,156762112000
COP,Energy,156588326912
BKNG,Consumer Discretionary,153980403712
DHR,Health Care,151714938880
NOW,Information Technology,148932984832
TJX,Consumer Discretionary,148400472064
VRTX,Health Care,137721790464
PLD,Real Estate,136758673408
BMY,Health Care,135350272000
NEM,Materials,134867345408
COF,Financials,133356273664
ISRG,Health Care,132989231104
CB,Financials,130982920192
LMT,Industrials,130088665088
SPGI,Financials,129893302272
GLW,Information Technology,128678494208
PGR,Financials,127040086016
SYK,Health Care,126034427904
PH,Industrials,125204922368
SBUX,Consumer Discretionary,123062992896
PDD,Consumer Cyclical,121800040448
FTNT,Information Technology,120329043968
CVS,Health Care,119136092160
MDT,Health Care,116615847936
ADBE,Information Technology,116121673728
ACN,Information Technology,115987496960
LOW,Consumer Discretionary,115825205248
SNOW,Information Technology,114546098176
MO,Consumer Staples,113985060864
ADP,Industrials,113889271808
ABNB,Consumer Discretionary,113511800832
SPOT,Communication,112601563136
FCX,Materials,110537449472
BNY,Financials,109829455872
APP,Communication,107255406592
NET,Information Technology,107150794752
HWM,Industrials,104525848576
MCK,Health Care,104309309440
EQIX,Real Estate,103096614912
MPC,Energy,102706044928
DASH,Consumer Discretionary,102674939904
GD,Industrials,102469468160
CME,Financials,102404579328
KKR,Financials,101576491008
SO,Utilities,101493653504
VLO,Energy,101252571136
VRT,Industrials,99669590016
MELI,Consumer Cyclical,99222257664
TT,Industrials,98523078656
CEG,Utilities,98472648704
PSX,Energy,97467301888
USB,Financials,97199038464
INTU,Information Technology,96765083648
PNC,Financials,96737861632
CMCSA,Communication,95014748160
CSX,Industrials,94855979008
HOOD,Financials,94718320640
DUK,Utilities,93618847744
CDNS,Information Technology,93557882880
MRSH,Financials,92349923328
MAR,Consumer Discretionary,91656740864
MNST,Consumer Staples,91575869440
PWR,Industrials,91398258688
ICE,Financials,91041341440
HCA,Health Care,90579902464
WMB,Energy,90141327360
MMM,Industrials,89828532224
UPS,Industrials,89434161152
MCO,Financials,88913715200
WM,Industrials,87543627776
EMR,Industrials,86302818304
ELV,Health Care,86060236800
DDOG,Information Technology,85484986368
SNPS,Information Technology,84810711040
JCI,Industrials,84252573696
SLB,Energy,83935723520
SHW,Materials,83416555520
BAM,Financials,83104997376
CVNA,Consumer Discretionary,82336686080
CTAS,Industrials,82012348416
SPG,Real Estate,81626644480
AMT,Real Estate,81587281920
REGN,Health Care,81465712640
LITE,Information Technology,81081622528
MSI,Information Technology,80257867776
ECL,Materials,80252477440
APO,Financials,79983165440
MDLZ,Consumer Staples,79864979456
ITW,Industrials,79601598464
